District,Latitude,Longitude,Region,N,P,K,pH,Rainfall,Crop
Achalpur,21.37849,77.55083,Vidarbha,65,27,59,7.4,987,Sugarcane
Achalpur,21.28687,77.59074,Vidarbha,54,23,59,8.1,874,Cotton
Achalpur,21.29301,77.52273,Vidarbha,50,26,50,7.5,921,Cotton
Achalpur,21.28495,77.6018,Vidarbha,71,36,38,7.9,905,Cotton
Achalpur,21.29198,77.57228,Vidarbha,71,28,47,7.4,852,Soybean
Achalpur,21.31102,77.51729,Vidarbha,53,33,44,7.6,942,Cotton
Achalpur,21.31476,77.57004,Vidarbha,56,23,48,7.9,880,Cotton
Achalpur,21.26513,77.49499,Vidarbha,53,32,53,7.5,899,Soybean
Achalpur,21.32676,77.55424,Vidarbha,50,19,58,7.5,927,Cotton
Achalpur,21.2951,77.58291,Vidarbha,62,31,55,7.8,799,Cotton
Achalpur,21.32975,77.55189,Vidarbha,50,34,46,7.6,847,Soybean
Achalpur,21.2092,77.5707,Vidarbha,67,28,49,7.3,1190,Sugarcane
Achalpur,21.31681,77.48336,Vidarbha,84,36,56,7.3,951,Sugarcane
Achalpur,21.30113,77.56056,Vidarbha,76,20,40,7.1,867,Soybean
Achalpur,21.25742,77.54567,Vidarbha,45,27,40,7.2,721,Soybean
Achalpur,21.3122,77.56156,Vidarbha,57,35,63,7.8,1013,Cotton
Achalpur,21.39907,77.57728,Vidarbha,56,31,47,7.7,840,Soybean
Achalpur,21.3254,77.5957,Vidarbha,56,32,56,7.2,1074,Sugarcane
Achalpur,21.30625,77.55039,Vidarbha,58,20,42,7.4,864,Soybean
Achalpur,21.31298,77.56786,Vidarbha,44,24,49,7.1,849,Soybean
Achalpur,21.2754,77.53788,Vidarbha,52,30,39,7.3,1000,Sugarcane
Achalpur,21.30645,77.51982,Vidarbha,53,32,51,7.8,757,Cotton
Achalpur,21.31418,77.5228,Vidarbha,79,21,42,7.4,977,Sugarcane
Achalpur,21.32702,77.53509,Vidarbha,51,29,48,7.6,831,Soybean
Achalpur,21.28055,77.48635,Vidarbha,70,31,40,7.3,931,Sugarcane
Achalpur,21.31119,77.53036,Vidarbha,45,16,56,7.7,857,Soybean
Achalpur,21.35257,77.55116,Vidarbha,64,31,50,8,1098,Cotton
Achalpur,21.29643,77.51516,Vidarbha,52,27,42,7.3,995,Sugarcane
Achalpur,21.30447,77.55934,Vidarbha,58,23,67,7.6,993,Cotton
Achalpur,21.31075,77.5645,Vidarbha,51,30,50,7.7,883,Soybean
Achalpur,21.2328,77.54414,Vidarbha,78,23,57,7.5,855,Soybean
Achalpur,21.2509,77.54946,Vidarbha,64,26,51,7.5,913,Cotton
Achalpur,21.35089,77.56038,Vidarbha,66,30,66,7.8,986,Cotton
Achalpur,21.3096,77.56802,Vidarbha,79,24,62,7.5,903,Cotton
Achalpur,21.37833,77.5799,Vidarbha,53,28,61,7.7,773,Soybean
Achalpur,21.27901,77.44359,Vidarbha,62,32,65,7.8,926,Cotton
Achalpur,21.33016,77.58606,Vidarbha,61,40,38,7.7,977,Cotton
Achalpur,21.28633,77.59803,Vidarbha,64,31,57,7.1,902,Sugarcane
Achalpur,21.28868,77.50074,Vidarbha,58,28,49,7.9,1103,Cotton
Achalpur,21.2729,77.53954,Vidarbha,55,28,39,7.3,961,Sugarcane
Achalpur,21.26806,77.56345,Vidarbha,37,29,54,7.9,991,Cotton
Achalpur,21.30479,77.50192,Vidarbha,72,41,51,7.8,818,Cotton
Achalpur,21.34477,77.50945,Vidarbha,80,36,51,7.5,919,Cotton
Achalpur,21.28409,77.52926,Vidarbha,64,24,36,7.9,941,Cotton
Achalpur,21.31496,77.59327,Vidarbha,71,34,53,7.5,879,Soybean
Achalpur,21.2839,77.59949,Vidarbha,71,29,43,7.5,1099,Cotton
Achalpur,21.24699,77.59076,Vidarbha,70,24,71,7.4,758,Soybean
Achalpur,21.34708,77.51315,Vidarbha,49,26,55,7.7,955,Cotton
Achalpur,21.3644,77.57825,Vidarbha,69,36,42,7.3,936,Sugarcane
Achalpur,21.27301,77.56466,Vidarbha,61,38,60,7.6,1086,Cotton
Achalpur,21.31556,77.58637,Vidarbha,64,31,52,7.5,798,Soybean
Achalpur,21.25566,77.55169,Vidarbha,52,29,45,7.8,794,Cotton
Ahiri,19.45924,80.46604,Vidarbha,61,26,45,7.5,1006,Cotton
Ahiri,19.54613,80.49112,Vidarbha,58,35,58,7.8,817,Cotton
Ahiri,19.51231,80.55281,Vidarbha,54,25,54,7.8,942,Cotton
Ahiri,19.55404,80.44704,Vidarbha,59,32,55,7.4,1043,Sugarcane
Ahiri,19.45808,80.5054,Vidarbha,75,33,34,7.7,926,Cotton
Ahiri,19.50199,80.53309,Vidarbha,58,31,38,7.2,837,Soybean
Ahiri,19.50895,80.61054,Vidarbha,44,29,50,7.7,994,Cotton
Ahiri,19.56443,80.47328,Vidarbha,46,33,47,7,1126,Sugarcane
Ahiri,19.46478,80.43647,Vidarbha,73,29,42,7.6,812,Soybean
Ahiri,19.50397,80.52275,Vidarbha,65,26,37,7.2,807,Soybean
Ahiri,19.50222,80.49287,Vidarbha,75,33,38,7.5,859,Soybean
Ahiri,19.49414,80.55469,Vidarbha,51,31,43,7.5,1157,Cotton
Ahiri,19.53848,80.49132,Vidarbha,64,25,54,7.3,1004,Sugarcane
Ahiri,19.45206,80.50702,Vidarbha,47,25,55,7.4,898,Soybean
Ahiri,19.52607,80.48862,Vidarbha,55,31,45,7.5,858,Soybean
Ahiri,19.50297,80.52389,Vidarbha,51,34,54,7.6,956,Cotton
Ahiri,19.58482,80.49646,Vidarbha,55,31,41,6.9,949,Sugarcane
Ahiri,19.42559,80.44851,Vidarbha,67,24,59,7.5,1012,Cotton
Ahiri,19.52222,80.48774,Vidarbha,49,24,46,7.1,949,Sugarcane
Ahiri,19.5126,80.56477,Vidarbha,59,37,41,7.4,1078,Sugarcane
Ahiri,19.52757,80.52224,Vidarbha,75,30,40,7.4,1085,Sugarcane
Ahiri,19.47462,80.53141,Vidarbha,71,39,45,7.4,1165,Sugarcane
Ahiri,19.52359,80.6128,Vidarbha,65,25,50,7.8,1051,Cotton
Ahiri,19.51811,80.51115,Vidarbha,57,29,53,7.2,939,Sugarcane
Ahiri,19.44789,80.5097,Vidarbha,46,28,40,7.4,975,Sugarcane
Ahiri,19.54883,80.46742,Vidarbha,56,23,47,7.8,991,Cotton
Ahiri,19.52513,80.48803,Vidarbha,55,25,50,7.3,1001,Sugarcane
Ahiri,19.46886,80.50987,Vidarbha,60,22,66,7.6,837,Soybean
Ahiri,19.45023,80.56419,Vidarbha,46,31,42,7.6,1047,Cotton
Ahiri,19.42591,80.46941,Vidarbha,46,34,49,8.3,1014,Cotton
Ahiri,19.47846,80.4752,Vidarbha,64,37,54,7.2,1042,Sugarcane
Ahiri,19.50903,80.50648,Vidarbha,70,28,45,7.3,938,Sugarcane
Ahiri,19.49005,80.50408,Vidarbha,55,31,54,7.7,949,Cotton
Ahiri,19.53409,80.49087,Vidarbha,55,40,46,7,1042,Sugarcane
Ahiri,19.53828,80.47808,Vidarbha,57,40,40,7.8,872,Cotton
Ahiri,19.52305,80.4809,Vidarbha,76,30,54,8.2,1077,Cotton
Ahiri,19.48587,80.52056,Vidarbha,54,25,52,7.9,810,Cotton
Ahiri,19.45291,80.53784,Vidarbha,81,40,49,7.7,1016,Cotton
Ahiri,19.53291,80.46614,Vidarbha,49,27,45,7.5,1098,Cotton
Ahiri,19.52045,80.41367,Vidarbha,65,34,54,7.3,958,Sugarcane
Ahiri,19.55568,80.44193,Vidarbha,65,37,52,7.5,1095,Cotton
Ahiri,19.45955,80.43144,Vidarbha,74,25,59,7,1060,Sugarcane
Ahiri,19.53819,80.50036,Vidarbha,72,28,59,8,1053,Cotton
Ahiri,19.502,80.47609,Vidarbha,58,31,46,8.1,908,Cotton
Ahiri,19.44732,80.53205,Vidarbha,61,24,55,7.7,943,Cotton
Ahiri,19.5419,80.56282,Vidarbha,73,30,49,7.1,1054,Sugarcane
Ahiri,19.53529,80.42153,Vidarbha,46,31,44,7.2,1056,Sugarcane
Ahiri,19.47519,80.53901,Vidarbha,64,25,59,7.8,955,Cotton
Ahiri,19.48657,80.49341,Vidarbha,57,26,52,7.4,985,Sugarcane
Ahiri,19.54707,80.47559,Vidarbha,80,26,55,7.4,1026,Sugarcane
Ahiri,19.47668,80.50006,Vidarbha,44,20,54,7.5,962,Cotton
Ahiri,19.50119,80.45052,Vidarbha,48,32,55,7.5,968,Cotton
Ahiri,19.53759,80.45667,Vidarbha,57,28,46,7.9,861,Cotton
Ahiri,19.56771,80.50731,Vidarbha,68,24,51,7.7,657,Bajra
Ahiri,19.57232,80.46533,Vidarbha,46,32,42,7.2,795,Soybean
Ahiri,19.43178,80.53367,Vidarbha,62,28,43,7.2,1089,Sugarcane
Ahiri,19.50509,80.45834,Vidarbha,52,29,51,7.4,991,Sugarcane
Ahiri,19.5084,80.50644,Vidarbha,57,25,57,8,887,Cotton
Ahiri,19.44278,80.55695,Vidarbha,61,29,36,7.4,1094,Sugarcane
Ahiri,19.46506,80.53315,Vidarbha,60,27,58,7.5,995,Cotton
Ahiri,19.46738,80.63492,Vidarbha,69,34,43,7,1022,Sugarcane
Ahiri,19.44447,80.44809,Vidarbha,57,28,51,7.5,907,Cotton
Ahiri,19.50101,80.53499,Vidarbha,68,32,40,7.9,858,Cotton
Ahiri,19.48449,80.54052,Vidarbha,54,29,42,7.7,904,Cotton
Ahiri,19.46565,80.51769,Vidarbha,75,33,42,7.6,1032,Cotton
Ahiri,19.48753,80.47889,Vidarbha,70,32,34,7.5,953,Cotton
Ahiri,19.5388,80.5017,Vidarbha,63,36,50,7.4,962,Sugarcane
Ahiri,19.48891,80.47766,Vidarbha,71,33,43,7.5,910,Cotton
Ahiri,19.54389,80.45957,Vidarbha,51,33,48,7.2,1002,Sugarcane
Ahiri,19.57522,80.53606,Vidarbha,64,35,43,7.3,1023,Sugarcane
Ahiri,19.52073,80.48826,Vidarbha,62,21,47,7.5,887,Soybean
Ahiri,19.42103,80.49736,Vidarbha,56,28,55,8,921,Cotton
Ahiri,19.58919,80.53901,Vidarbha,62,31,39,7.3,1053,Sugarcane
Ahiri,19.4381,80.45129,Vidarbha,61,31,39,8.1,992,Cotton
Ahiri,19.56912,80.42387,Vidarbha,58,23,32,7.5,878,Soybean
Ahiri,19.50379,80.58001,Vidarbha,59,40,43,7.6,934,Cotton
Ahiri,19.46662,80.46438,Vidarbha,63,35,67,7.3,1015,Sugarcane
Ahiri,19.53732,80.44331,Vidarbha,51,29,53,7.9,727,Cotton
Ahiri,19.55775,80.49413,Vidarbha,65,28,40,7.5,911,Cotton
Ahiri,19.50674,80.56757,Vidarbha,51,37,45,7.4,796,Soybean
Ahiri,19.5437,80.52406,Vidarbha,44,27,50,7.6,1016,Cotton
Ahiri,19.51262,80.50195,Vidarbha,69,21,49,7.7,1064,Cotton
Ahiri,19.52573,80.4573,Vidarbha,72,34,50,7.6,955,Cotton
Ahiri,19.47371,80.43616,Vidarbha,50,35,34,7,987,Sugarcane
Ahiri,19.51975,80.47632,Vidarbha,69,27,57,6.8,1061,Sugarcane
Ahiri,19.53563,80.5227,Vidarbha,68,25,42,7.7,1034,Cotton
Ahiri,19.51995,80.59005,Vidarbha,61,29,46,8,777,Cotton
Ahiri,19.50998,80.52873,Vidarbha,64,29,69,7.6,970,Cotton
Ahiri,19.51076,80.53557,Vidarbha,68,37,48,7.4,812,Soybean
Ahiri,19.46888,80.53511,Vidarbha,50,31,48,7.6,925,Cotton
Ahiri,19.44979,80.51094,Vidarbha,71,22,47,7.7,1001,Cotton
Ahiri,19.52721,80.55002,Vidarbha,60,27,49,7.4,1013,Sugarcane
Ahiri,19.53521,80.45943,Vidarbha,64,29,51,7.5,1008,Cotton
Ahiri,19.50113,80.51453,Vidarbha,55,38,45,7,998,Sugarcane
Ahiri,19.4552,80.51871,Vidarbha,66,28,44,7.8,1003,Cotton
Ahiri,19.54504,80.52209,Vidarbha,54,36,45,7.2,806,Soybean
Ahiri,19.47185,80.53665,Vidarbha,67,32,46,7.6,967,Cotton
Ahiri,19.47188,80.5504,Vidarbha,58,20,45,7.4,939,Sugarcane
Ahiri,19.52476,80.51063,Vidarbha,74,33,41,7.5,1052,Cotton
Ahiri,19.47506,80.49485,Vidarbha,59,32,48,7.4,971,Sugarcane
Akola,20.72394,77.04922,Vidarbha,79,30,48,7.7,1058,Cotton
Akola,20.71694,77.01767,Vidarbha,54,28,60,7.5,1053,Cotton
Akola,20.71792,77.02361,Vidarbha,58,32,54,7.7,1035,Cotton
Akola,20.72533,77.08859,Vidarbha,66,34,44,7.5,909,Cotton
Akola,20.69469,77.08106,Vidarbha,47,25,57,7.7,940,Cotton
Akola,20.72311,77.00662,Vidarbha,66,25,56,8,856,Cotton
Akola,20.68827,76.97625,Vidarbha,39,33,38,7.9,887,Cotton
Akola,20.72866,77.07962,Vidarbha,50,26,72,7.2,1130,Sugarcane
Akola,20.72604,77.04747,Vidarbha,66,41,60,7.4,993,Sugarcane
Akola,20.76861,77.04346,Vidarbha,48,31,59,7.6,994,Cotton
Akola,20.68766,77.0516,Vidarbha,60,31,49,8.5,912,Cotton
Akola,20.64244,77.01615,Vidarbha,66,31,39,7.8,971,Cotton
Akola,20.6466,77.10239,Vidarbha,46,31,46,7.9,1077,Cotton
Akola,20.77243,76.97932,Vidarbha,75,30,58,7.1,814,Soybean
Akola,20.69842,77.04177,Vidarbha,60,31,55,6.9,970,Sugarcane
Akola,20.74009,77.01827,Vidarbha,71,25,46,7.1,963,Sugarcane
Akola,20.64511,76.9971,Vidarbha,62,40,60,7.1,793,Soybean
Akola,20.71403,77.07918,Vidarbha,62,28,56,7.6,1099,Cotton
Akola,20.78143,77.07665,Vidarbha,73,30,60,7.5,834,Soybean
Akola,20.68914,77.02904,Vidarbha,69,24,53,7.3,919,Sugarcane
Akola,20.67826,77.11439,Vidarbha,60,29,44,7.8,1072,Cotton
Akola,20.69759,77.06601,Vidarbha,59,31,45,7.6,1062,Cotton
Akola,20.69369,77.10005,Vidarbha,50,24,64,7.9,855,Cotton
Akola,20.6878,77.00941,Vidarbha,43,26,49,7.3,923,Sugarcane
Akola,20.70228,77.02351,Vidarbha,48,16,51,7.7,977,Cotton
Akola,20.78008,77.02725,Vidarbha,58,25,47,6.9,921,Sugarcane
Akola,20.69695,77.03369,Vidarbha,59,38,50,7.2,962,Sugarcane
Akola,20.68024,77.01799,Vidarbha,59,23,40,7.2,980,Sugarcane
Akola,20.76813,76.96431,Vidarbha,66,33,49,7.9,767,Cotton
Akola,20.6747,77.05003,Vidarbha,66,28,59,7.8,911,Cotton
Akola,20.7025,76.99756,Vidarbha,79,28,38,7.2,1034,Sugarcane
Akola,20.73284,77.06904,Vidarbha,67,24,49,7.5,1039,Cotton
Akola,20.79025,77.10513,Vidarbha,82,34,35,7.5,1080,Cotton
Akola,20.67756,77.06681,Vidarbha,56,32,52,7.8,984,Cotton
Akola,20.66779,76.98066,Vidarbha,73,41,50,7.5,930,Cotton
Akola,20.76894,77.14787,Vidarbha,55,29,54,7.2,857,Soybean
Akola,20.68732,77.01483,Vidarbha,62,27,36,7.5,933,Cotton
Akola,20.69333,77.04742,Vidarbha,48,25,56,7.1,919,Sugarcane
Akola,20.71787,77.0565,Vidarbha,63,26,64,7.6,949,Cotton
Akola,20.73918,77.01186,Vidarbha,59,23,65,7.6,894,Soybean
Akola,20.59418,77.10396,Vidarbha,55,28,67,7.5,1030,Cotton
Akola,20.68633,77.04772,Vidarbha,65,25,45,7.3,1026,Sugarcane
Akola,20.70575,77.02771,Vidarbha,46,39,41,7.3,1006,Sugarcane
Akola,20.82029,77.02402,Vidarbha,47,31,58,7.2,975,Sugarcane
Akola,20.71834,76.96956,Vidarbha,58,35,39,7.6,887,Soybean
Akola,20.69688,76.97977,Vidarbha,69,34,48,7.3,767,Soybean
Akola,20.78753,77.01433,Vidarbha,62,29,56,7.9,1063,Cotton
Akola,20.75094,77.03341,Vidarbha,71,32,62,7.2,969,Sugarcane
Akola,20.66059,77.04158,Vidarbha,55,25,48,7.3,1143,Sugarcane
Akola,20.7199,77.03891,Vidarbha,58,30,54,7.3,768,Soybean
Akola,20.68218,77.04973,Vidarbha,41,20,50,8.1,948,Cotton
Akola,20.65322,77.07532,Vidarbha,57,25,49,7.1,1018,Sugarcane
Akola,20.60239,77.06973,Vidarbha,58,24,48,8,921,Cotton
Akola,20.68302,77.05296,Vidarbha,70,35,57,7.4,1008,Sugarcane
Akola,20.69999,77.06439,Vidarbha,56,34,43,7.8,921,Cotton
Akola,20.66011,77.06005,Vidarbha,68,23,66,7.6,825,Soybean
Akola,20.65817,76.99442,Vidarbha,73,23,52,7.6,1085,Cotton
Akola,20.67702,76.99596,Vidarbha,57,26,55,7.9,1009,Cotton
Akola,20.72993,76.98923,Vidarbha,52,27,51,7.6,1046,Cotton
Akola,20.72181,76.98564,Vidarbha,65,38,44,7.4,768,Soybean
Akola,20.71328,77.05266,Vidarbha,76,33,45,7.6,952,Cotton
Akola,20.70927,77.01777,Vidarbha,51,29,52,7.8,1021,Cotton
Akola,20.75068,76.99764,Vidarbha,57,35,60,7.2,897,Soybean
Akola,20.6524,76.92602,Vidarbha,60,16,57,7.8,979,Cotton
Akola,20.64336,77.01573,Vidarbha,71,33,60,7.4,1177,Sugarcane
Akola,20.70197,77.03659,Vidarbha,64,32,58,7.2,1021,Sugarcane
Akola,20.62223,76.95843,Vidarbha,61,27,39,7.8,748,Cotton
Akola,20.70907,77.12359,Vidarbha,66,34,40,7.4,966,Sugarcane
Akola,20.69754,77.00687,Vidarbha,55,22,41,7.5,779,Soybean
Akola,20.70155,77.05067,Vidarbha,57,37,72,7.6,851,Soybean
Akola,20.64813,76.98649,Vidarbha,70,21,45,7.2,1038,Sugarcane
Akola,20.68981,77.03308,Vidarbha,60,31,56,7.6,925,Cotton
Akola,20.7215,77.00093,Vidarbha,63,27,40,7.6,866,Soybean
Akola,20.70121,77.05821,Vidarbha,54,30,42,7.5,998,Cotton
Akola,20.72747,77.03183,Vidarbha,64,29,55,7.4,1035,Sugarcane
Akola,20.70631,77.06568,Vidarbha,59,25,50,7.4,898,Soybean
Akola,20.69006,76.96555,Vidarbha,68,31,46,7.2,1169,Sugarcane
Akola,20.67579,76.99351,Vidarbha,68,33,43,7.4,1043,Sugarcane
Akola,20.80311,76.9503,Vidarbha,62,31,56,7.4,963,Sugarcane
Akola,20.68078,77.06902,Vidarbha,63,33,53,7.5,1010,Cotton
Akola,20.70362,77.02125,Vidarbha,63,34,54,7.1,986,Sugarcane
Akola,20.72468,77.06681,Vidarbha,62,29,44,7.4,927,Sugarcane
Akola,20.69676,77.02126,Vidarbha,40,30,47,7.9,1180,Cotton
Akola,20.67588,77.07536,Vidarbha,45,26,38,7.5,991,Cotton
Akola,20.73513,77.07058,Vidarbha,67,34,56,8.4,1056,Cotton
Akola,20.69685,77.11772,Vidarbha,76,37,41,7.7,1113,Cotton
Akola,20.66164,77.04519,Vidarbha,75,33,39,7.9,1171,Cotton
Akola,20.76148,77.09547,Vidarbha,58,30,50,6.9,913,Sugarcane
Akola,20.65316,77.03593,Vidarbha,36,31,52,7.6,774,Soybean
Akola,20.74997,77.06152,Vidarbha,64,35,43,7.9,1036,Cotton
Akola,20.71886,76.9891,Vidarbha,67,32,42,7.4,1052,Sugarcane
Akola,20.65092,77.01167,Vidarbha,54,28,51,7.8,1119,Cotton
Akola,20.74232,77.02336,Vidarbha,73,19,45,7.7,927,Cotton
Akola,20.77054,77.03011,Vidarbha,68,29,56,7.6,1001,Cotton
Akola,20.74057,77.01625,Vidarbha,51,31,49,7.8,1017,Cotton
Akola,20.72422,77.04136,Vidarbha,52,20,44,7.3,822,Soybean
Akola,20.68317,77.00118,Vidarbha,55,31,67,8.3,911,Cotton
Akola,20.70072,77.0257,Vidarbha,72,27,32,7.6,921,Cotton
Akola,20.77482,76.9833,Vidarbha,59,34,59,7.8,1061,Cotton
Akola,20.72656,77.05069,Vidarbha,54,33,55,7.8,950,Cotton
Akot,21.07075,77.11226,Vidarbha,68,21,46,7.3,993,Sugarcane
Akot,21.0648,77.08699,Vidarbha,49,29,50,7.4,1057,Sugarcane
Akot,21.15484,77.17106,Vidarbha,65,33,39,7.5,1048,Cotton
Akot,21.12925,77.11017,Vidarbha,49,27,58,7.2,1026,Sugarcane
Akot,21.08875,77.0482,Vidarbha,68,36,55,7.6,874,Soybean
Akot,21.13324,77.12635,Vidarbha,62,31,43,7.5,941,Cotton
Akot,21.15382,77.11351,Vidarbha,67,42,49,7.5,1082,Cotton
Akot,21.0661,77.10554,Vidarbha,51,31,54,7.2,1138,Sugarcane
Akot,21.1072,77.06081,Vidarbha,56,31,45,7.4,895,Soybean
Akot,21.12478,77.15829,Vidarbha,58,35,52,7.7,813,Soybean
Akot,21.07818,77.16053,Vidarbha,58,26,40,7.5,825,Soybean
Akot,21.02195,77.11936,Vidarbha,61,25,55,7.9,971,Cotton
Akot,21.1141,77.13019,Vidarbha,36,26,39,7.8,962,Cotton
Akot,21.07464,77.07605,Vidarbha,67,28,51,8.2,1079,Cotton
Akot,21.14104,77.08442,Vidarbha,60,30,32,7.2,887,Soybean
Akot,21.09148,77.14598,Vidarbha,56,18,43,7.6,1018,Cotton
Akot,21.07642,77.06716,Vidarbha,42,32,40,7.7,797,Soybean
Akot,21.14964,77.06844,Vidarbha,69,31,54,8,972,Cotton
Akot,21.06397,77.07677,Vidarbha,72,34,53,7.2,1108,Sugarcane
Akot,21.10509,77.10821,Vidarbha,62,28,57,7.6,1087,Cotton
Akot,21.15478,77.06044,Vidarbha,64,32,68,7.1,828,Soybean
Akot,21.0254,77.14197,Vidarbha,53,43,44,7.7,953,Cotton
Akot,21.07411,77.11878,Vidarbha,65,31,42,7.2,1006,Sugarcane
Akot,21.10362,77.07333,Vidarbha,59,33,53,7.9,1147,Cotton
Akot,21.1052,77.07327,Vidarbha,57,29,49,7.3,978,Sugarcane
Akot,21.17244,77.09132,Vidarbha,70,29,32,7.9,784,Cotton
Akot,21.05179,77.11897,Vidarbha,76,28,55,7.8,781,Cotton
Akot,21.07005,77.06256,Vidarbha,66,30,43,7.8,1073,Cotton
Akot,21.08993,77.08526,Vidarbha,67,37,36,7.7,780,Soybean
Akot,21.03845,77.13569,Vidarbha,59,29,72,7.3,1148,Sugarcane
Akot,21.13708,77.05559,Vidarbha,69,40,55,7.9,1092,Cotton
Akot,21.01419,77.04005,Vidarbha,51,36,51,7.7,1086,Cotton
Akot,21.10357,77.11469,Vidarbha,62,33,48,8.4,901,Cotton
Akot,21.1466,77.1428,Vidarbha,62,32,53,7.1,851,Soybean
Akot,21.05655,77.05921,Vidarbha,43,37,56,7.5,1003,Cotton
Akot,21.06256,77.15637,Vidarbha,53,31,53,7.5,990,Cotton
Akot,21.07044,77.13836,Vidarbha,59,24,48,7.6,855,Soybean
Akot,21.10684,77.1082,Vidarbha,46,27,42,7.5,987,Cotton
Akot,21.11352,77.0642,Vidarbha,61,30,47,7.4,799,Soybean
Akot,21.13992,77.08105,Vidarbha,72,34,36,7.2,839,Soybean
Akot,21.14763,77.1668,Vidarbha,52,32,57,7.3,998,Sugarcane
Akot,21.15053,77.07695,Vidarbha,60,28,60,7.5,1061,Cotton
Akot,21.07413,77.1678,Vidarbha,55,36,51,7.5,1133,Cotton
Akot,21.13536,77.08846,Vidarbha,69,30,48,7.9,912,Cotton
Akot,21.10839,77.08781,Vidarbha,68,29,34,7.4,1006,Sugarcane
Akot,21.03721,77.06131,Vidarbha,51,25,50,7.9,918,Cotton
Akot,21.14449,77.14667,Vidarbha,57,22,46,7.1,851,Soybean
Akot,21.07,77.13148,Vidarbha,60,28,56,7.6,795,Soybean
